Feature,Rank
VAV1_TRAF1,1.1111111111111112
SLP76_TCRb,2.6666666666666665
TCRb_CD3z,6.111111111111111
CD28_FYN,6.555555555555555
CD28_LCK,9.0
LCK_PKCt,15.11111111111111
CD28_TRAF1,15.666666666666666
LCK_GRAP2,16.22222222222222
VAV1_PKCt,17.333333333333332
PKCt_TRAF1,17.77777777777778
TAK1_FYN,19.333333333333332
SLP76_CD28,22.77777777777778
SLP76_LAT,24.11111111111111
BIRC3_CD28,25.333333333333332
BIRC3_LCK,27.77777777777778
SLP76_TRAF2,28.666666666666668
TAK1_TRAF1,29.444444444444443
CD28_PKCt,32.44444444444444
SLP76_SLP76,33.333333333333336
CD28_CD28,35.333333333333336
TCRb_FYN,35.888888888888886
ZAP70_TAK1,40.77777777777778
LCK_TAK1,43.333333333333336
2A_FYN,43.888888888888886
NCK_CD3z,51.22222222222222
NCK_CD28,51.333333333333336
SLP76_CD3z,52.888888888888886
FYB_LAT,55.0
LCK_CD28,55.666666666666664
2A_TRAF1,55.77777777777778
TRAF2_LAT,56.111111111111114
NCK_TRAF1,56.111111111111114
TCRb_LCK,58.333333333333336
TCRb_TAK1,58.44444444444444
CD28_GRAP2,59.22222222222222
VAV1_ZAP70,61.22222222222222
PI3K_CD3z,61.77777777777778
VAV1_LCK,62.333333333333336
FYB_TCRb,63.44444444444444
TRAF1_ZAP70,63.77777777777778
TCRb_TRAF1,64.88888888888889
VAV1_LAT,66.44444444444444
PI3K_TRAF1,70.22222222222223
BIRC3_TCRb,71.55555555555556
PI3K_FYN,72.0
LCK_FYN,72.66666666666667
VAV1_TRAF2,72.66666666666667
TRAF1_CD28,73.77777777777777
CD28_CD3z,74.22222222222223
LAT_LAT,74.77777777777777
TRAF1_CD3z,75.0
2A_CD28,75.11111111111111
LCK_SLP76,75.55555555555556
VAV1_BIRC3,75.77777777777777
TRAF1_BIRC3,76.0
TRAF1_PKCt,76.11111111111111
2A_SLP76,76.33333333333333
BIRC3_FYN,76.44444444444444
NCK_ZAP70,76.55555555555556
BIRC3_GRAP2,76.77777777777777
PKCt_BIRC3,77.0
TRAF2_BIRC3,77.44444444444444
PKCt_FYN,78.44444444444444
PKCt_LAT,78.66666666666667
FYB_FYN,79.33333333333333
BIRC3_TRAF1,79.55555555555556
NCK_LAT,79.88888888888889
TRAF2_FYN,79.88888888888889
FYB_BIRC3,80.11111111111111
SLP76_GRAP2,80.11111111111111
NCK_LCK,80.55555555555556
TRAF2_LCK,81.0
PI3K_LAT,81.11111111111111
TRAF1_TRAF1,81.55555555555556
NCK_FYN,82.44444444444444
BIRC3_PKCt,82.55555555555556
TRAF1_TCRb,83.44444444444444
VAV1_SLP76,83.55555555555556
PKCt_TCRb,83.77777777777777
PKCt_CD3z,84.0
LCK_BIRC3,84.0
ZAP70_FYN,84.33333333333333
TRAF2_TRAF1,84.66666666666667
SLP76_LCK,85.22222222222223
2A_GRAP2,85.33333333333333
FYB_SLP76,85.55555555555556
PI3K_CD28,86.0
PKCt_CD28,86.33333333333333
TRAF2_CD3z,87.11111111111111
2A_PKCt,87.22222222222223
VAV1_CD3z,87.22222222222223
TRAF2_PKCt,88.0
2A_CD3z,88.11111111111111
2A_LCK,88.44444444444444
BIRC3_TRAF2,88.77777777777777
VAV1_GRAP2,88.77777777777777
BIRC3_ZAP70,89.22222222222223
NCK_TCRb,89.55555555555556
TRAF2_CD28,89.66666666666667
BIRC3_CD3z,89.77777777777777
BIRC3_BIRC3,90.77777777777777
VAV1_TAK1,91.0
NCK_BIRC3,91.11111111111111
2A_BIRC3,92.33333333333333
TRAF1_SLP76,93.0
FYB_CD28,93.0
FYB_CD3z,93.11111111111111
TCRb_TCRb,94.0
LCK_CD3z,94.22222222222223
2A_TAK1,94.44444444444444
PKCt_GRAP2,96.66666666666667
TRAF1_GRAP2,97.33333333333333
SLP76_FYN,97.88888888888889
CD28_TAK1,98.22222222222223
FYB_GRAP2,98.44444444444444
PKCt_PKCt,100.22222222222223
FYB_PKCt,101.55555555555556
PKCt_LCK,103.66666666666667
TRAF1_LAT,103.77777777777777
TRAF1_LCK,103.77777777777777
2A_LAT,105.22222222222223
CD28_LAT,105.88888888888889
VAV1_FYN,106.77777777777777
LCK_LAT,107.33333333333333
NCK_PKCt,108.66666666666667
NCK_GRAP2,108.88888888888889
NCK_SLP76,109.0
FYB_LCK,109.11111111111111
BIRC3_LAT,109.44444444444444
LCK_ZAP70,110.66666666666667
TRAF1_FYN,110.88888888888889
PKCt_TRAF2,110.88888888888889
TRAF2_SLP76,111.22222222222223
TRAF2_TCRb,111.33333333333333
TRAF2_GRAP2,111.77777777777777
PKCt_SLP76,113.0
TRAF1_TRAF2,113.44444444444444
FYB_TRAF2,115.11111111111111
PI3K_GRAP2,115.88888888888889
LCK_TRAF2,116.0
TCRb_LAT,116.22222222222223
LCK_TRAF1,117.0
FYB_TRAF1,117.33333333333333
NCK_TRAF2,117.55555555555556
LCK_LCK,119.11111111111111
SLP76_TAK1,119.11111111111111
PKCt_TAK1,120.77777777777777
PI3K_TCRb,123.55555555555556
TAK1_TAK1,125.66666666666667
TRAF1_TAK1,125.77777777777777
LCK_TCRb,131.44444444444446
FYB_TAK1,132.44444444444446
FYB_ZAP70,133.55555555555554
CD28_TCRb,134.11111111111111
ZAP70_ZAP70,136.0
2A_TCRb,136.77777777777777
2A_ZAP70,136.77777777777777
