Feature,Importance
VAV1_ZAP70,1.3444078935532278
BIRC3_LAT,1.2489086224319887
FYB_BIRC3,1.2328730164318964
NCK_BIRC3,1.2244084319442075
PI3K_CD28,1.1587866619208131
2A_TRAF2,1.034110573289642
2A_LAT,0.9946512834315007
VAV1_TCRb,0.9807756055973395
FYB_PKCt,0.9552586520786919
VAV1_LCK,0.9413928340941119
TCRb_TRAF1,0.9151779821391642
BIRC3_PKCt,0.8841204225265282
SLP76_LAT,0.8497174597107267
VAV1_SLP76,0.8301633480954741
LCK_SLP76,0.8254678272772502
SLP76_CD28,0.8060613161866004
TRAF2_ZAP70,0.8039763531721923
TRAF2_CD28,0.795085771165988
LCK_ZAP70,0.7825102914856843
LCK_LAT,0.7627146845078557
TCRb_TAK1,0.7528647245298989
CD28_TRAF1,0.7515400897512006
TRAF1_CD28,0.7116624154299753
2A_SLP76,0.7021160979855627
BIRC3_CD28,0.677689284709116
SLP76_TCRb,0.6737979565573202
PI3K_TRAF1,0.647001629138931
TRAF2_GRAP2,0.6381838199215293
TRAF1_SLP76,0.6232750354099745
FYB_SLP76,0.6013919291999594
VAV1_LAT,0.5995889811449422
PKCt_TRAF1,0.591037101976903
PKCt_ZAP70,0.588747925030677
TCRb_CD3z,0.5836350770892997
PKCt_CD3z,0.5833600748166407
2A_PKCt,0.558462243730969
LCK_TCRb,0.5530057717152491
NCK_SLP76,0.5435417837638314
TRAF2_FYN,0.5364961355786486
2A_FYN,0.5361100827959977
BIRC3_LCK,0.5330302678277202
NCK_CD3z,0.5284059879294195
CD28_TCRb,0.5261237035614716
TRAF2_LAT,0.5255638605047999
PI3K_CD3z,0.5142228128427685
VAV1_FYN,0.5037214298183156
TRAF1_ZAP70,0.4997609711863965
NCK_TRAF2,0.49473421874538515
2A_TRAF1,0.47508536890803377
TCRb_TRAF2,0.4574562240758517
NCK_TCRb,0.45273618480399236
PI3K_FYN,0.44642076952651244
PI3K_GRAP2,0.4320084662778923
FYB_TRAF1,0.4222749405665621
TRAF1_TCRb,0.42132765317565635
PKCt_BIRC3,0.4142695303560791
2A_BIRC3,0.4051871789394488
NCK_TRAF1,0.4033816090673681
VAV1_TRAF2,0.40297744333824054
CD28_FYN,0.39260687197135635
TRAF2_LCK,0.38933697356148494
VAV1_BIRC3,0.38757287475650126
CD28_CD3z,0.3778814808043097
PKCt_TCRb,0.37236654087207915
FYB_TAK1,0.3711723359610502
VAV1_TAK1,0.3587955814576472
PI3K_TAK1,0.3469105356184169
SLP76_TRAF1,0.34174056846862866
FYB_CD28,0.3375294647339736
TAK1_FYN,0.3357722728432876
CD28_PKCt,0.3278217051644832
LCK_FYN,0.32550372107598463
TRAF1_PKCt,0.3183008036610919
NCK_ZAP70,0.31395033363387675
LCK_CD28,0.31276269678107904
CD28_GRAP2,0.3099306267287145
NCK_GRAP2,0.30214440543068455
SLP76_GRAP2,0.3012171878123586
TRAF2_BIRC3,0.29515971406883595
PKCt_LAT,0.294222594105991
CD28_TRAF2,0.2864090743268783
NCK_PKCt,0.2842276173914129
