,2A_BIRC3,BIRC3_BIRC3,FYB_BIRC3,LCK_BIRC3,NCK_BIRC3,PKCt_BIRC3,TRAF1_BIRC3,TRAF2_BIRC3,VAV1_BIRC3,2A_CD28,BIRC3_CD28,CD28_CD28,FYB_CD28,LCK_CD28,NCK_CD28,PI3K_CD28,PKCt_CD28,SLP76_CD28,TRAF1_CD28,TRAF2_CD28,2A_CD3z,BIRC3_CD3z,CD28_CD3z,FYB_CD3z,LCK_CD3z,NCK_CD3z,PI3K_CD3z,PKCt_CD3z,SLP76_CD3z,TCRb_CD3z,TRAF1_CD3z,TRAF2_CD3z,VAV1_CD3z,2A_FYN,BIRC3_FYN,CD28_FYN,FYB_FYN,LCK_FYN,NCK_FYN,PI3K_FYN,PKCt_FYN,SLP76_FYN,TAK1_FYN,TCRb_FYN,TRAF1_FYN,TRAF2_FYN,VAV1_FYN,ZAP70_FYN,2A_GRAP2,BIRC3_GRAP2,CD28_GRAP2,FYB_GRAP2,LCK_GRAP2,NCK_GRAP2,PI3K_GRAP2,PKCt_GRAP2,SLP76_GRAP2,TRAF1_GRAP2,TRAF2_GRAP2,VAV1_GRAP2,2A_LAT,BIRC3_LAT,CD28_LAT,FYB_LAT,LAT_LAT,LCK_LAT,NCK_LAT,PI3K_LAT,PKCt_LAT,SLP76_LAT,TCRb_LAT,TRAF1_LAT,TRAF2_LAT,VAV1_LAT,2A_LCK,BIRC3_LCK,CD28_LCK,FYB_LCK,LCK_LCK,NCK_LCK,PKCt_LCK,SLP76_LCK,TCRb_LCK,TRAF1_LCK,TRAF2_LCK,VAV1_LCK,2A_PKCt,BIRC3_PKCt,CD28_PKCt,FYB_PKCt,LCK_PKCt,NCK_PKCt,PKCt_PKCt,TRAF1_PKCt,TRAF2_PKCt,VAV1_PKCt,2A_SLP76,FYB_SLP76,LCK_SLP76,NCK_SLP76,PKCt_SLP76,SLP76_SLP76,TRAF1_SLP76,TRAF2_SLP76,VAV1_SLP76,2A_TAK1,BIRC3_TAK1,CD28_TAK1,FYB_TAK1,LCK_TAK1,NCK_TAK1,PI3K_TAK1,PKCt_TAK1,SLP76_TAK1,TAK1_TAK1,TCRb_TAK1,TRAF1_TAK1,TRAF2_TAK1,VAV1_TAK1,ZAP70_TAK1,2A_TCRb,BIRC3_TCRb,CD28_TCRb,FYB_TCRb,LCK_TCRb,NCK_TCRb,PI3K_TCRb,PKCt_TCRb,SLP76_TCRb,TCRb_TCRb,TRAF1_TCRb,TRAF2_TCRb,VAV1_TCRb,2A_TRAF1,BIRC3_TRAF1,CD28_TRAF1,FYB_TRAF1,LCK_TRAF1,NCK_TRAF1,PI3K_TRAF1,PKCt_TRAF1,SLP76_TRAF1,TAK1_TRAF1,TCRb_TRAF1,TRAF1_TRAF1,TRAF2_TRAF1,VAV1_TRAF1,2A_TRAF2,BIRC3_TRAF2,CD28_TRAF2,FYB_TRAF2,LCK_TRAF2,NCK_TRAF2,PKCt_TRAF2,SLP76_TRAF2,TCRb_TRAF2,TRAF1_TRAF2,TRAF2_TRAF2,VAV1_TRAF2,2A_ZAP70,BIRC3_ZAP70,FYB_ZAP70,LCK_ZAP70,NCK_ZAP70,PKCt_ZAP70,TRAF1_ZAP70,TRAF2_ZAP70,VAV1_ZAP70,ZAP70_ZAP70,cd4v8,protein conc,CRS,stim type,pair num,control
CAR_19_447,-9.499414159849564,60.64348488532917,16.960217930613837,2.236229672016563,7.2051341335872365,16.653536582742476,-40.6705110434128,-2.827490905250258,16.044429223498213,8.064156724385725,-0.41031196531739056,7.308657396547503,-28.410243942006133,19.522950339770574,-4.201170918721942,20.304926451283222,-1.1272531829046954,-1.550000975145494,-11.363790667600298,-9.332358870568754,4.520811492214648,-16.611211568230075,9.572721923879982,33.33911671815645,19.799416563354043,-9.223876688021377,-13.937101873604746,9.752977232818708,-7.619380680080397,51.03937596931945,-2.5539718799091133,-4.436941891563535,-7.316613515327987,98.32717055512599,0.9819896481122612,36.04263323935503,-36.675323469472374,141.58543406788323,9.655466489775819,19.611869289945417,47.66895604414711,27.66315814608609,27.945327809344477,4.525873612106324,36.08323520600196,7.263035775275384,-52.87295746246764,9.269080167788402,-17.418991006329236,-2.4203208445242126,-7.526705300454864,-29.66193014286756,0.28251341191992196,-11.520916477881244,-24.230888812085603,19.544579899629966,-3.6333635302133587,-4.313773565581997,-5.657727631188962,-28.133140833144196,14.039903638168397,27.744210935407736,14.520222139045643,9.18912343942803,21.8940989773118,-5.785637902652596,9.156555949418703,-47.760706799949816,34.961808106844046,1.7705139773540992,3.2830003385153645,22.715723372088135,2.2554940549499207,39.47443517203236,-6.793996491660593,3.142988650843634,48.706238351470475,-15.938031325963351,148.99946854952785,7.13838621180895,3.737409496520698,5.035267887767418,4.446429159950412,7.118816159513074,26.115619353015646,-18.41001620979617,-6.935643971631862,2.6214421782912325,37.871503262562314,-18.223085575079963,23.57563269897196,7.106102159443367,27.140012325800683,-0.44118239428283346,10.044463102573289,-18.85069956051845,12.661085121963609,-5.2566289676153986,7.960106769759278,-4.940073158378553,25.143131948477716,4.531895876533341,11.984219713585986,-12.20486875911547,-0.7124898047351564,7.638751356660592,48.67641042142782,7.797827691399547,10.450466981627386,16.5962598828569,33.83920472201997,15.897329145172833,2.746962162538466,9.810662837706701,37.656054876937176,5.669736316457971,34.93444909227409,7.1777887884828715,-8.794817554887032,3.1416968110714834,9.250035024328923,31.14883436327881,5.087173109563807,8.951485031658322,-5.130022647376961,-4.993193503830824,15.211335609020395,17.89005026218429,10.669346838944222,26.869567705926798,27.334536834847185,-15.48762622535618,41.44754342167039,1.9795592702621292,54.19578550814779,-4.103113548453081,-10.483783047603595,4.486237752483518,-5.317528004798234,7.615474317653636,12.133093009957207,2.768605134991674,13.676283018929922,-0.801627528920676,21.27803999921167,9.937864081992515,36.98960940343163,-5.485440770013909,30.862486430448143,-1.234772715294497,-13.402704851064513,5.847271879724019,14.05060201558149,2.4359060720811243,8.049924012197252,-6.355069790800684,10.51212506823778,-9.220864690673096,7.5899318728342,-27.651929352782744,2.080138542006125,5.474296002354109,-2.493610650084122,-12.05587538293112,5.620332209879081,5.061111293229601,1.1327910396403382,-2.8790901183616313,-23.100226743592614,4.0,1.74,1.0,19,0,0
CAR_19_452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.68,0.0,19,0,0
CAR_19_474,5.427434045501059,3.846624259146722,2.9256244589408595,-1.888405568891713,4.971298928489432,1.5150960489295215,2.9743165215312075,0.22960110113317,8.928810621902272,-9.897056334466114,-7.585562622576276,3.0833180149921304,-60.07117896481063,-2.1212364576935983,2.1255707908433408,11.023312652796548,11.86089380731832,-12.19981051938231,-4.468638423807164,7.602682953757395,-43.75850090769032,-3.2118008035568266,4.5985559788862815,-9.647774986847153,-5.852709486400201,9.905651640099322,19.09984059072481,-2.7950226616105596,2.1032956976970354,4.271373368140075,7.3684814824753175,2.462766661137394,18.512520628328986,4.532618348922341,-3.9418874700149473,34.5756023231591,-11.055533112260235,-110.03928859595332,14.672569516298651,-22.808164127328,36.52332027973041,-168.6205395953814,-11.168381532671333,-24.0309852699356,-53.03347368239729,-10.92007606708917,-63.38155207207646,-11.40332606666064,-8.05209880731681,2.1845990015955152,6.782964120307398,-9.271555148316608,-6.67926793359608,6.59362796857198,10.21586144051696,16.44007331343954,-12.762009145998775,5.9139686069668045,-0.7862281048109594,-2.6583139712170833,7.537283387573638,-6.849498431840203,8.671721990075184,-13.335700382335972,-11.201486311355154,-5.672989168144952,14.866816120136548,27.043138750466454,7.104605509231391,2.2248860244261124,1.733511871180255,-5.594248307579221,2.8177302607575285,-6.0257694862144575,-1.015501319617158,-6.0354095435147315,-5.890496633758303,3.4618022420369954,-11.7837852343294,3.611342697712459,3.1082631485556647,-9.406730447730425,-0.6880870956992737,-18.31856155501471,2.4592657585130837,13.7504375903886,-10.826192755670903,-9.590198767548031,-5.9500523676382215,12.129231371836028,-9.145455684530063,-4.611832319375907,-9.974724765009412,0.4361663132544322,-0.297745743192948,29.825496162461846,-20.898160074317985,16.42002783434218,-10.188942461657518,-11.76864525977841,2.001491680890325,26.274012586682602,-22.366942246055714,-9.180110580519909,17.01261444510037,4.438596613701392,48.89345630176379,-1269.1700822724654,-10.477702129895093,-74.2477145431956,150.06394139668794,-12.247941586061216,24.682407642918804,172.98843296075987,158.0752915600512,-9.736542259339316,-49.84179019265963,-15.280376626356457,-135.40872553249847,5.190663423695298,-1.6876609427854987,0.19183699472564797,-10.12465386903331,9.729078520289079,3.4706092738927623,0.230576680030822,1.0585521888107792,-4.918530132454762,9.318422015983671,-28.514862484028683,-14.892931302525227,-1.0455151234681352,15.758196740698494,7.830158615505653,-24.465589553632704,-0.525834232036658,-5.466762056593922,-13.882073650207928,1.9558421740512557,-0.6645431991390467,-6.840166028130213,-4.132222947259805,7.282586295923323,-14.947061248066703,6.034243131599041,-17.702401381793763,13.041810684404112,-4.097599390849737,-6.231406448284858,-5.0250461574754866,-19.4640278307498,-8.67221290665536,-5.8969139346015,4.349326344226995,12.33299655967626,-3.9449260713012535,-15.137723286777977,-21.50627444001804,17.225441915618234,3.9147798730936927,8.248642771841801,-11.549541939004811,6.6186488962838865,-5.8654126666172886,3.4902552481443223,5.677710595976677,2.0468877449020084,-6.710738070584696,-14.842007351546947,4.0,3.391,1.0,19,1,0
CAR_19_411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.6,0.0,19,1,0
CAR_N3_874_1,-12.538387719824101,0.9914254923966297,-2.647236070770589,4.065030660534177,-4.677404691382023,16.549386119259196,-6.2613408982310546,6.4183013411424525,-2.4872111026743653,3.3810399966327367,8.495543081227098,3.399850782749226,58.31548913865127,-7.427157063713565,17.36117801130409,6.522203595462116,-15.960534011049802,-0.6558241365400335,6.826401097026022,3.622524054319342,6.730640135941854,4.641223167490907,8.193929524282282,35.48305162651826,-25.248730404708894,0.02775009199368128,38.60342670083337,20.60184977980218,14.22057448960399,48.55321164700986,12.72259216675026,-7.522688688973432,16.72614065039282,183.34911637696632,110.03889703087475,449.41193566328343,79.52092812276993,58.15527516098976,11.646027001315218,17.748265215347672,398.0045268923768,113.30075344859964,-6.661805376665228,62.054311722818696,50.31319862102045,-2.3317470857364953,84.81272836867946,52.19961361771264,3.9393330897739958,-2.824587229504587,-8.157022365632145,11.61512631273824,25.621362844069367,5.387581457522401,-4.198891659947421,10.23689082529576,145.09191415391598,9.6084561006668,-6.455954271593868,4.588216837363348,-25.190588473285146,31.930449889185397,0.6687930165615512,-14.551538857865268,145.05331152342313,-7.14254322555108,-2.449069175222718,7.96767421529384,-4.40804162957258,30.002982741397602,12.710448737251653,13.434570426115243,3.880408975009189,-5.595519013477002,13.357544458838277,3.992706578656282,34.23150148870717,-2.383691332809093,59.25252308151708,5.181557442675,50.73647530620002,9.613464014125043,27.918928829118926,22.328659015500236,11.741876685606783,50.02688160855935,66.1104200877173,2.058951266820202,2.219815682840604,2.505536916339622,2.6317617927168584,-2.577938117624541,18.88736563555217,-0.8846256328943838,11.99189234457387,8.626208238743857,15.107402529863933,-6.217261665160592,0.4955661766539521,1.0913595367379827,-11.452945937919594,11.09389684688972,-11.275177685440426,3.0278812935969057,-6.697275939139871,-28.125189647754837,52.896757604424536,518.0367322608804,-75.90511861803873,-18.30982174104861,34.95763492663599,-28.08125946606002,373.6940029486807,9.945755566247783,-294.1159871714573,-66.49151178058037,4.794854720377614,57.03546712094118,4.248475586355255,-51.75728045661582,25.264781091287105,1.4190597919441217,-0.5579919484533491,-5.26573504220903,13.63996617486167,13.00363267243884,12.080726089484244,-22.145804676753784,-4.519463021961499,47.94102994114539,-16.613761048408577,-3.077383664267842,-3.5089328503960218,26.691724493043296,41.36827409176729,11.302810419692833,-6.678773737155623,2.1238846329572993,1.0864362170733557,7.557811980225765,17.91344920077009,-3.6634929887342054,-7.693457986725591,-4.686824433832854,41.654984760247444,54.39549604090104,-1.1226319546230883,121.17550463860918,15.283742131295355,2.942957983711011,11.059873488582724,19.303602944103503,-11.248674357421123,8.220936573011144,8.418863055764604,-2.6090602603575945,52.83682275019522,-16.46740583220972,3.775624022631476,1.5870527456185926,-0.6741882878962002,0.6880450772737134,-2.650827019687924,4.177127969414329,-9.078157434039042,7.540366926282644,-3.2051282051282044,5.497651111973823,143.89951690131966,8.0,3.002,1.0,N3,10,0
CAR_N3_892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.18,0.0,N3,10,0
CAR_N3_874_3,-2.8345208776304673,-3.490088169308251,0.24885584092039892,2.6690355647016304,-8.682164399480683,-4.462548946324304,7.326767657790711,-6.539906587687227,20.720992905604987,6.325705899078258,1.3620821324888084,-0.9125388983071048,65.36090540364526,4.84266480843894,2.9779213331765817,17.648626636806725,9.448298689702497,-11.92084830091288,7.374083043760066,-1.1045904164449638,-1.7530801741639266,0.6505305748200811,11.288674553295778,39.933177771767674,-3.592287551030182,13.81012320210877,8.396305668728147,3.181447146610509,13.026972024607161,86.81582575320044,11.822538601723537,-12.60852788137575,19.944199136067752,-3845.45934840493,123.41671105277489,601.2138664505153,211.07264705210042,120.12148096486021,119.87720957544872,-11.455084413880769,309.4538074686406,120.32935994191956,17.292770972448096,120.68489496882358,79.30192972670616,-6.904270388897757,65.47170889753828,202.92526722341478,53.417119092042455,2.5770520016236844,14.825682507079037,43.53687308451218,-3.069528230177582,11.991030898177698,-15.896666669358325,12.548211048591256,133.2647684394525,1.411069115230461,14.954619418417636,-9.174989497584164,6.587567282439821,7.801093559328166,2.87966650554624,20.25120526281846,180.95265173081484,-2.4095460539688958,15.10113394204302,6.373064934595625,-2.3086333711618465,36.893280398394566,10.061293147067161,6.302045797793554,-18.583391287646094,30.14015955974385,10.931867591173415,24.506297051233474,56.94919738915909,8.602369406924964,-2853.7996336834476,39.27794860230445,6.253188353515185,-10.052752467704309,37.16625643486664,13.093324496502518,7.283105883266359,13.470704850045834,44.45359338058509,-7.609940966262641,-5.861964187534824,-0.9719678453332676,-18.80425387761055,-4.565927599353614,-42.15612769447647,-10.710097942951691,-8.809749441735462,-25.29614551189799,-0.22983723215772045,2.3421696042914846,3.9262610343328816,-11.080521282275953,2.2157659004440973,20.55978945265126,-25.316244863290436,-29.030179200252846,-1.3562324770211234,-18.274964421250502,46.89211059733789,758.9223644141728,21.424017412878584,-7590.933977078432,-469.94780959917694,-27.31059334441811,94.53167729174481,-208.88987587702348,-673.1443836918768,-3.3453751779061776,0.791658075955354,18.955250079299432,-16.096718274278118,-20.28467556510546,22.716214698278577,-6.6265060240964,-7.797713926936467,14.940599028464376,19.1420672012014,14.094079707516002,17.515106971061286,-30.79975735221906,11.135591545383008,59.96635971784536,11.002681172747558,9.551023567645515,-11.200971476157846,-6.61229070333178,52.97089917403903,21.691763208937758,19.051391980672904,17.060408890301076,3.2989945244019196,17.612675685721698,7.50813861180356,3.3860926072838,1.8755262708905178,0.27267945311398023,51.892778179092474,67.30584993257064,-1.8755571938602884,-196.29112460183012,-2.9372347047190033,13.075905786914873,-0.0872035003562388,-0.6020048880811402,13.724858441192296,-5.4192926407762485,5.250892255952678,12.759693319006587,54.83005293782873,-29.839402258697433,7.0434453510090265,30.117941588583776,5.559710863679243,0.6010853625226247,-5.426754145754003,6.928675657194319,1.4190196272621307,10.22412382803239,1.1697571764489538,6.861682820923448,178.61413193937966,8.0,2.643,1.0,N3,11,0
CAR_N3_886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.4,0.0,N3,11,0
CAR_KP_447,3.881583849003249,58.76101593376049,2.8205199157493155,8.306014516765075,-6.861028335037744,-7.738706312499502,-49.05063072479501,-9.376917752292997,17.380826969549986,35.45365831734762,4.856722073110561,20.53915385178702,-30.74883475132279,21.043262026974404,2.8928084172503077,7.463828307114497,14.699831856146204,0.859441990203635,-7.463371554665372,4.817907378866408,-13.473724256137757,-6.376233486086264,17.016085258922786,9.930925774357206,24.993516805762496,2.384240162285721,-10.491161340597202,9.76837177896472,3.1046843583750103,39.63966535843505,11.524181976916196,-2.581443795606546,-6.714763569128962,-264.374538317295,-13.087279740180065,42.63738052309084,-51.02863662387765,106.64493389406135,1.8553424315817892,-13.133168451263558,-8.202376212401703,-35.160806975045546,15.430965650071329,-1.1900740841295487,8.679100596327757,9.228422870895358,-143.7952756530483,-0.6004510373557963,1.3193323296629842,3.936445194524296,-0.022347291204539488,-35.19406318149994,6.0149725641581995,2.111656444753393,2.9197162564423635,12.1631546229642,-21.33449028111194,-3.6520458804724,-3.3986075552552393,-48.99291957808249,-5.523108937274316,-1.6641799711880765,2.8304619543309855,-9.552375598859186,14.881928455923642,-1.7595967351899588,17.567810502814922,-10.712815494858418,7.478606843976976,-1.2841550889944955,-3.9074521851086246,-1.790974664715364,-3.0362836493192304,27.21873199167746,-8.080983158319128,-2.8011872183393507,45.213959078096295,-12.284587208514111,137.58578670560843,-3.0886709145251245,-18.404278263387496,-0.36111005970360566,3.466886612939973,-6.974683503741318,17.312657965662382,-23.705846000343897,25.42401681212141,2.764340621203445,33.84448112044801,-21.78878071880105,22.488023155544724,4.197583186856477,35.544830900400825,-2.6858505150457574,-1.6127410334385672,-1.7150799500083735,3.9158347169718013,-15.238433043524992,-1.554273346809353,7.042366449116557,5.964907490350853,4.313164892376577,-7.688439274779071,3.0778683058461382,7.527511421188919,1.1710695978184873,10.218609564842993,7.614647871764689,-0.3828689442533175,2.470216028240941,19.861273800077612,8.34730046465701,-3.6770539599969823,4.021470780694187,37.41982267184321,10.3046719655094,-2.5732923372651726,20.5907084934924,7.4076229073105395,8.440024911620995,-28.833852134529522,12.631461391044084,6.419102775355341,-1.4416835070968688,-0.21045266064680845,4.869368209465279,4.8059317956444545,2.4176581821513707,-12.075164029061696,14.98674955673168,0.21809218755393545,-7.48499855721812,23.261012533199263,7.775344708405882,32.46432832447027,3.5019806767405015,-14.330740305829124,12.597932572192477,10.113669578990724,11.003692982152188,14.936709488985713,-2.0814304998014848,10.441761662577633,-8.59752168862046,14.539208560238336,12.78325446703073,-1.3199567799084377,47.031325301358265,5.8599943216249955,-0.6855170066317271,-40.16064994025345,0.3780393653456997,0.9873999703355878,-8.351674563878063,-1.851269209654859,0.3182817040118948,8.89840502879585,-2.582189118803143,-73.22772555122936,-3.5816482386448314,-1.5227441924326115,1.9563697909017321,-7.410436030794116,-7.971004581253638,-0.62759222173392,0.6272580942855939,-7.815837850281241,-0.6591000648796665,-5.866882837819844,4.0,1.74,1.0,KP,12,0
CAR_KP_452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.68,0.0,KP,12,0
